index,dataset,folder,scenario_idx,track_id,ego_id,timerange,priority_label,priority_value,n_valid_timesteps,n_invalid_timesteps,IO
222,waymo_train,waymo_500-799,95655,2263;ego,ego,"range(28, 76)",ego,0.0,37,0,0.6355766017712697
223,waymo_train,waymo_500-799,42218,1727;ego,ego,"range(0, 31)",ego,0.0,26,0,0.4462904781149666
224,waymo_train,waymo_500-799,96628,368;ego,ego,"range(0, 39)",ego,0.0,22,0,0.5355865424176905
225,waymo_train,waymo_500-799,42375,1696;ego,ego,"range(0, 36)",ego,0.0,21,0,0.6790870109027978
226,waymo_train,waymo_500-799,43410,44;ego,ego,"range(0, 32)",ego,0.0,19,0,0.7932463676880781
227,waymo_train,waymo_500-799,97969,1118;ego,ego,"range(12, 69)",ego,0.0,38,0,0.6310823108907949
228,waymo_train,waymo_500-799,98656,1095;ego,ego,"range(0, 53)",ego,0.0,38,0,0.6623932578115506
229,waymo_train,waymo_500-799,98967,1500;ego,ego,"range(2, 43)",ego,0.0,31,0,0.6301937858480935
230,waymo_train,waymo_500-799,99151,1849;ego,ego,"range(21, 81)",ego,0.0,38,0,0.6342937173835167
231,waymo_train,waymo_500-799,44676,944;ego,ego,"range(0, 50)",ego,0.0,31,0,0.5549511799120413
232,waymo_train,waymo_500-799,100380,2078;ego,ego,"range(0, 52)",ego,0.0,35,0,0.6483182500265906
233,waymo_train,waymo_500-799,100647,876;ego,ego,"range(7, 56)",ego,0.0,0,0,1.0
234,waymo_train,waymo_500-799,45989,160;ego,ego,"range(5, 62)",ego,0.0,44,0,0.5956993353236036
235,waymo_train,waymo_500-799,10116,1648;ego,ego,"range(0, 49)",ego,0.0,39,0,0.466543336412193
236,waymo_train,waymo_500-799,101640,167;ego,ego,"range(14, 64)",167,1.0,35,0,0.69226647361028
237,waymo_train,waymo_500-799,4681,1115;ego,ego,"range(0, 37)",ego,0.0,24,0,0.38090823639580457
238,waymo_train,waymo_500-799,47049,434;ego,ego,"range(0, 30)",ego,0.0,13,0,0.0958306195537662
239,waymo_train,waymo_500-799,47659,299;ego,ego,"range(0, 39)",ego,0.0,26,0,0.5614394007336032
240,waymo_train,waymo_500-799,103293,56;ego,ego,"range(43, 86)",56,1.0,21,0,0.8306980356579753
241,waymo_train,waymo_500-799,48880,2234;ego,ego,"range(24, 81)",ego,0.0,35,0,0.6570495606860255
242,waymo_train,waymo_500-799,48999,7;ego,ego,"range(4, 49)",ego,0.0,25,0,0.4217201367347887
243,waymo_train,waymo_500-799,49134,45;ego,ego,"range(8, 48)",ego,0.0,17,0,0.6469862298631189
