index,TTC,PET,a_p,a_l,jerk,yaw_rate,task_time,avg_delay,IO,impact
132,1.0,1.0,0.9938883583550103,1.0,0.45002478315553923,1.0,0.655228953685578,0.2815270080212197,0.6446547976571078,0.9541413291610596
133,1.0,1.0,1.0,1.0,0.7325408325481356,1.0,0.6908015147336908,0.14607787105080147,0.951085145179388,0.9753141727267213
134,1.0,1.0,1.0,0.9964464992951823,0.6341559778220682,1.0,0.6534130039704417,0.049077168723158794,0.4321371371754516,1.0
135,1.0,1.0,0.9806603403276103,1.0,0.5893808782243193,1.0,0.5097699153894035,0.2827405337103147,0.4342503011804274,0.9366049157048284
136,1.0,1.0,0.9978230590532998,0.9847430292313613,0.6594330980591019,1.0,0.7178671412086653,0.719253053187773,0.8399439317009144,0.9660776381584438
137,1.0,1.0,1.0,1.0,0.6843193203706691,1.0,0.6332897692127727,0.0,0.5056541383718482,0.985269187677885
138,1.0,1.0,0.864576235818033,1.0,0.6734873120226482,1.0,0.7008291263508345,0.6565865129000428,0.6582788083097508,0.9980712150214117
139,1.0,1.0,0.9207050554529129,1.0,0.7010166797989673,1.0,0.7287177715842131,0.0,0.6221055066055923,1.0
140,0.8327877488871938,1.0,0.9263113279686207,0.9996330857388531,0.49256561084941947,1.0,0.6983038844696505,0.31875911624010533,0.5939674526831147,0.996420271291681
141,1.0,1.0,1.0,0.9975733419407727,0.4193861403759844,1.0,0.6704291378485936,0.014497449343732332,0.5674945907306038,0.9844574191995605
142,1.0,1.0,0.9794757247730174,1.0,0.6114603280420433,1.0,0.7418275370053851,4.4780690568752025e-05,0.9441117605431191,0.9951976496083226
143,0.7032270982360308,0.5682623646757732,0.9360970029217519,0.5491779433459894,0.5201290438298966,0.874954296255973,0.17875020529781677,0.0745977861298443,0.8587628005153142,0.8460369027377539
144,1.0,1.0,0.9439928601185683,0.9970629830770665,0.41412426819521647,1.0,0.6897567819133965,0.5285529760726856,0.958910007679976,0.9900867766358222
145,1.0,0.8456377360197718,0.8925703721852075,1.0,0.769989688303519,1.0,0.7523865321077504,0.9425925684764492,0.7411113717932105,0.8911761532040224
146,1.0,0.6989151102949015,0.5826547979121426,1.0,0.8666845896595471,1.0,0.34498501785035784,0.28442746490385973,0.7783225164999031,1.0
147,1.0,1.0,0.6466797145333508,0.9508286683164928,0.6238526645868931,1.0,0.1612495918164794,0.5707724134793742,0.3520868594254359,1.0
148,1.0,1.0,0.8507981169623776,0.9993483020465213,0.5669736861883052,1.0,0.7348871355836527,8.437464981987613e-05,0.6506297716388754,0.9952684795906523
149,1.0,1.0,0.9199955119747801,0.9004226364359447,0.69383972492606,1.0,0.8226435661446888,0.636327699282172,0.6780769768938675,0.9243199174132262
150,0.9760339870338608,1.0,0.9098456809248597,1.0,0.6115496266697784,1.0,0.6501386358751039,0.1758226959931331,0.4818536849507244,0.9949054591119991
