index,start_time,type,ego,total_background_vehicles,n_background_vehicles,impact
305,0.0,AV_1,ego,41,41,1.0
306,0.0,AV_1,ego,66,66,1.0
307,0.0,AV_1,ego,106,106,1.0
308,0.0,AV_1,ego,99,99,1.0
309,18.0,AV_1,ego,78,10,0.9860897219538896
310,0.0,AV_1,ego,18,18,1.0
311,10.0,AV_1,ego,40,1,0.7836055904802415
312,0.0,AV_1,ego,75,75,1.0
313,3.0,AV_1,ego,61,4,0.5669793116022523
314,0.0,AV_1,ego,80,80,1.0
315,0.0,AV_1,ego,106,106,1.0
316,0.0,AV_1,ego,62,62,1.0
317,13.0,AV_1,ego,78,8,0.9082238938814082
318,0.0,AV_1,ego,14,14,1.0
319,18.0,AV_1,ego,17,7,0.9889509864238971
320,0.0,AV_1,ego,12,12,1.0
321,0.0,AV_1,ego,96,96,1.0
322,0.0,AV_1,ego,15,15,1.0
323,0.0,AV_1,ego,48,48,1.0
324,0.0,AV_1,ego,20,20,1.0
325,0.0,AV_1,ego,14,14,1.0
326,3.0,AV_1,ego,84,13,0.8490116713060679
327,0.0,AV_1,ego,53,53,1.0
328,5.0,AV_1,ego,35,13,0.9817510347033884
329,0.0,AV_1,ego,61,61,1.0
330,17.0,AV_1,ego,84,11,0.7861908129163184
331,0.0,AV_1,ego,128,128,1.0
332,0.0,AV_1,ego,88,88,1.0
333,2.0,AV_1,ego,99,5,0.6807990986233857
334,0.0,AV_1,ego,59,59,1.0
335,10.0,AV_1,ego,39,1,0.7505329308918867
336,0.0,AV_1,ego,39,39,1.0
337,0.0,AV_1,ego,12,12,1.0
338,0.0,AV_1,ego,60,60,1.0
339,0.0,AV_1,ego,48,48,1.0
340,28.0,AV_1,ego,20,7,0.9819732058880631
341,0.0,AV_1,ego,68,68,1.0
342,0.0,AV_1,ego,64,64,1.0
343,16.0,AV_1,ego,77,18,0.9335327603903328
344,16.0,AV_1,ego,77,17,0.9541768295345601
345,17.0,AV_1,ego,74,2,0.8805932997077756
346,12.0,AV_1,ego,12,2,0.779039864764108
347,0.0,AV_1,ego,84,84,1.0
348,0.0,AV_1,ego,17,17,1.0
349,0.0,AV_1,ego,62,62,1.0
350,0.0,AV_1,ego,125,125,1.0
351,0.0,AV_1,ego,22,22,1.0
352,0.0,AV_1,ego,8,8,1.0
