index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,a_p
134,waymo_train,waymo_300-499,39123,2072;ego,ego,"range(0, 36)",0.89,2.12,0.5,36,1.0
135,waymo_train,waymo_300-499,39488,816;ego,ego,"range(14, 56)",0.89,2.12,0.5,42,0.9806603403276103
136,waymo_train,waymo_300-499,40777,776;ego,ego,"range(12, 52)",0.89,2.12,0.5,40,0.9978230590532998
137,waymo_train,waymo_300-499,42498,874;ego,ego,"range(0, 50)",0.89,2.12,0.5,50,1.0
138,waymo_train,waymo_300-499,45365,2520;ego,ego,"range(0, 59)",0.89,2.12,0.5,59,0.864576235818033
139,waymo_train,waymo_300-499,47578,2564;ego,ego,"range(7, 56)",0.89,2.12,0.5,49,0.9207050554529129
140,waymo_train,waymo_300-499,49968,2678;2685;ego,ego,"range(0, 39)",0.89,2.12,0.5,39,0.9263113279686207
141,waymo_train,waymo_300-499,51732,1565;ego,ego,"range(20, 85)",0.89,2.12,0.5,65,1.0
142,waymo_train,waymo_300-499,52376,2;ego,ego,"range(16, 60)",0.89,2.12,0.5,44,0.9794757247730174
143,waymo_train,waymo_300-499,52525,73;ego,ego,"range(0, 48)",0.89,2.12,0.5,48,0.9360970029217519
144,waymo_train,waymo_300-499,52760,1344;1347;ego,ego,"range(25, 70)",0.89,2.12,0.5,45,0.9439928601185683
145,waymo_train,waymo_300-499,53170,1672;ego,ego,"range(31, 74)",0.89,2.12,0.5,43,0.8925703721852075
146,waymo_train,waymo_300-499,53427,1658;ego,ego,"range(26, 67)",0.89,2.12,0.5,41,0.5826547979121426
147,waymo_train,waymo_300-499,53674,426;ego,ego,"range(0, 34)",0.89,2.12,0.5,34,0.6466797145333508
148,waymo_train,waymo_300-499,55806,989;ego,ego,"range(10, 74)",0.89,2.12,0.5,64,0.8507981169623776
149,waymo_train,waymo_300-499,59323,1856;ego,ego,"range(0, 52)",0.89,2.12,0.5,52,0.9199955119747801
150,waymo_train,waymo_300-499,59768,2678;ego,ego,"range(0, 41)",0.89,2.12,0.5,41,0.9098456809248597
151,waymo_train,waymo_300-499,60782,484;ego,ego,"range(0, 43)",0.89,2.12,0.5,43,0.9663752846183797
152,waymo_train,waymo_300-499,60921,1;ego,ego,"range(0, 57)",0.89,2.12,0.5,57,0.8548661764764357
153,waymo_train,waymo_300-499,61572,807;ego,ego,"range(10, 50)",0.89,2.12,0.5,40,0.6370862602138787
154,waymo_train,waymo_300-499,63117,2357;ego,ego,"range(35, 85)",0.89,2.12,0.5,50,0.9617093372828591
155,waymo_train,waymo_300-499,65037,276;ego,ego,"range(12, 58)",0.89,2.12,0.5,46,0.9596772521436155
156,waymo_train,waymo_300-499,65447,17;ego,ego,"range(0, 41)",0.89,2.12,0.5,41,0.8453773765610566
157,waymo_train,waymo_300-499,66183,207;ego,ego,"range(15, 72)",0.89,2.12,0.5,57,1.0
158,waymo_train,waymo_300-499,69948,2078;ego,ego,"range(21, 82)",0.89,2.12,0.5,61,0.9017151121336564
159,waymo_train,waymo_300-499,71193,0;ego,ego,"range(3, 43)",0.89,2.12,0.5,40,0.9841208204753693
160,waymo_train,waymo_300-499,72906,1300;ego,ego,"range(18, 62)",0.89,2.12,0.5,44,0.5158683717430965
161,waymo_train,waymo_300-499,74076,229;ego,ego,"range(30, 90)",0.89,2.12,0.5,60,0.7579339242004577
162,waymo_train,waymo_300-499,74479,430;ego,ego,"range(25, 88)",0.89,2.12,0.5,63,0.6990383304237786
163,waymo_train,waymo_300-499,74600,2;ego,ego,"range(0, 40)",0.89,2.12,0.5,40,0.988780595430342
164,waymo_train,waymo_300-499,74720,1352;ego,ego,"range(0, 35)",0.89,2.12,0.5,35,1.0
165,waymo_train,waymo_300-499,75059,136;ego,ego,"range(0, 46)",0.89,2.12,0.5,46,0.7232487372620524
166,waymo_train,waymo_300-499,75126,485;ego,ego,"range(15, 54)",0.89,2.12,0.5,39,0.9051496735006259
167,waymo_train,waymo_300-499,83000,926;ego,ego,"range(0, 42)",0.89,2.12,0.5,42,0.989924567936919
168,waymo_train,waymo_300-499,84355,399;ego,ego,"range(11, 57)",0.89,2.12,0.5,46,1.0
169,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",0.89,2.12,0.5,37,1.0
170,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",0.89,2.12,0.5,37,1.0
171,waymo_train,waymo_300-499,87504,3244;ego,ego,"range(26, 82)",0.89,2.12,0.5,56,1.0
172,waymo_train,waymo_300-499,88500,1856;ego,ego,"range(0, 32)",0.89,2.12,0.5,32,0.874777760899004
173,waymo_train,waymo_300-499,91011,2448;ego,ego,"range(0, 37)",0.89,2.12,0.5,37,1.0
174,waymo_train,waymo_300-499,91653,796;ego,ego,"range(24, 82)",0.89,2.12,0.5,58,0.9726285639893256
175,waymo_train,waymo_300-499,92088,2308;ego,ego,"range(11, 73)",0.89,2.12,0.5,62,0.9377022171245452
176,waymo_train,waymo_300-499,92724,255;ego,ego,"range(44, 88)",0.89,2.12,0.5,44,0.9240329144435695
177,waymo_train,waymo_300-499,96333,1738;ego,ego,"range(0, 41)",0.89,2.12,0.5,41,0.8337887798158321
178,waymo_train,waymo_300-499,97309,1297;ego,ego,"range(0, 46)",0.89,2.12,0.5,46,0.9992362639693877
179,waymo_train,waymo_500-799,21494,4;ego,ego,"range(0, 53)",0.89,2.12,0.5,53,0.9998474885116978
