index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,yaw_rate
158,waymo_train,waymo_300-499,69948,2078;ego,ego,"range(21, 82)",0.1,0.37,0.5,61,1.0
159,waymo_train,waymo_300-499,71193,0;ego,ego,"range(3, 43)",0.1,0.37,0.5,40,1.0
160,waymo_train,waymo_300-499,72906,1300;ego,ego,"range(18, 62)",0.1,0.37,0.5,44,1.0
161,waymo_train,waymo_300-499,74076,229;ego,ego,"range(30, 90)",0.1,0.37,0.5,60,0.9170332815745861
162,waymo_train,waymo_300-499,74479,430;ego,ego,"range(25, 88)",0.1,0.37,0.5,63,1.0
163,waymo_train,waymo_300-499,74600,2;ego,ego,"range(0, 40)",0.1,0.37,0.5,40,1.0
164,waymo_train,waymo_300-499,74720,1352;ego,ego,"range(0, 35)",0.1,0.37,0.5,35,1.0
165,waymo_train,waymo_300-499,75059,136;ego,ego,"range(0, 46)",0.1,0.37,0.5,46,1.0
166,waymo_train,waymo_300-499,75126,485;ego,ego,"range(15, 54)",0.1,0.37,0.5,39,0.925146774071325
167,waymo_train,waymo_300-499,83000,926;ego,ego,"range(0, 42)",0.1,0.37,0.5,42,1.0
168,waymo_train,waymo_300-499,84355,399;ego,ego,"range(11, 57)",0.1,0.37,0.5,46,1.0
169,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",0.1,0.37,0.5,37,1.0
170,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",0.1,0.37,0.5,37,1.0
171,waymo_train,waymo_300-499,87504,3244;ego,ego,"range(26, 82)",0.1,0.37,0.5,56,1.0
172,waymo_train,waymo_300-499,88500,1856;ego,ego,"range(0, 32)",0.1,0.37,0.5,32,1.0
173,waymo_train,waymo_300-499,91011,2448;ego,ego,"range(0, 37)",0.1,0.37,0.5,37,1.0
174,waymo_train,waymo_300-499,91653,796;ego,ego,"range(24, 82)",0.1,0.37,0.5,58,1.0
175,waymo_train,waymo_300-499,92088,2308;ego,ego,"range(11, 73)",0.1,0.37,0.5,62,1.0
176,waymo_train,waymo_300-499,92724,255;ego,ego,"range(44, 88)",0.1,0.37,0.5,44,1.0
177,waymo_train,waymo_300-499,96333,1738;ego,ego,"range(0, 41)",0.1,0.37,0.5,41,1.0
178,waymo_train,waymo_300-499,97309,1297;ego,ego,"range(0, 46)",0.1,0.37,0.5,46,1.0
179,waymo_train,waymo_500-799,21494,4;ego,ego,"range(0, 53)",0.1,0.37,0.5,53,1.0
180,waymo_train,waymo_500-799,3596,249;ego,ego,"range(0, 32)",0.1,0.37,0.5,32,1.0
181,waymo_train,waymo_500-799,41283,583;ego,ego,"range(24, 87)",0.1,0.37,0.5,63,1.0
182,waymo_train,waymo_500-799,44011,728;ego,ego,"range(0, 43)",0.1,0.37,0.5,43,0.999842028205336
183,waymo_train,waymo_500-799,44011,728;741;ego,ego,"range(0, 38)",0.1,0.37,0.5,38,0.9998212424428802
184,waymo_train,waymo_500-799,45391,2;ego,ego,"range(10, 68)",0.1,0.37,0.5,58,1.0
185,waymo_train,waymo_500-799,4842,204;ego,ego,"range(0, 30)",0.1,0.37,0.5,30,0.9888481225408672
186,waymo_train,waymo_500-799,61393,3512;ego,ego,"range(0, 53)",0.1,0.37,0.5,53,1.0
187,waymo_train,waymo_500-799,73980,1176;ego,ego,"range(30, 82)",0.1,0.37,0.5,52,1.0
188,waymo_train,waymo_500-799,81156,207;ego,ego,"range(36, 75)",0.1,0.37,0.5,39,1.0
189,waymo_train,waymo_500-799,8268,2235;ego,ego,"range(35, 84)",0.1,0.37,0.5,49,1.0
190,waymo_train,waymo_500-799,103660,2220;2227;ego,ego,"range(20, 65)",0.1,0.37,0.5,45,1.0
191,waymo_train,waymo_500-799,13675,1667;ego,ego,"range(5, 45)",0.1,0.37,0.5,40,1.0
192,waymo_train,waymo_500-799,15617,39;ego,ego,"range(29, 90)",0.1,0.37,0.5,61,1.0
193,waymo_train,waymo_500-799,16609,1814;ego,ego,"range(0, 36)",0.1,0.37,0.5,36,1.0
194,waymo_train,waymo_500-799,18275,1279;ego,ego,"range(7, 52)",0.1,0.37,0.5,45,1.0
195,waymo_train,waymo_500-799,18960,1576;ego,ego,"range(0, 49)",0.1,0.37,0.5,49,1.0
196,waymo_train,waymo_500-799,19138,2116;ego,ego,"range(0, 32)",0.1,0.37,0.5,32,1.0
197,waymo_train,waymo_500-799,21827,394;ego,ego,"range(0, 35)",0.1,0.37,0.5,35,1.0
198,waymo_train,waymo_500-799,22409,757;ego,ego,"range(0, 30)",0.1,0.37,0.5,30,1.0
199,waymo_train,waymo_500-799,23447,1205;ego,ego,"range(26, 84)",0.1,0.37,0.5,58,1.0
